location,target_end_date,quantile,value,forecast_date,target,type
1,2023-05-05,0.95,41.50549247,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.975,45.13860483,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.99,49.04296155,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-06,0.01,5.112616048,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.025,7.410210899,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.05,11.04468309,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.1,13.78330957,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.15,15.43849962,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.2,16.83084865,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.25,18.11173531,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.3,19.41198632,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.35,20.41882469,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.4,21.5659012,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.45,22.49803608,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.5,23.45266882,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.55,24.61131516,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.6,26.09206315,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.65,27.31920675,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.7,28.77091937,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.75,30.14460762,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.8,31.57813503,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.85,33.7304934,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.9,36.65384657,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.95,41.59157918,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.975,48.28152403,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-06,0.99,52.89599043,2023-05-08,5 day ahead inc hosp,quantile
1,2023-05-07,0.01,4.240198394,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.025,6.07865086,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.05,10.66334135,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.1,13.26402275,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.15,15.23215374,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.2,16.45280121,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.25,18.15594144,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.3,19.3094976,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.35,20.43810917,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.4,21.3451254,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.45,22.6493639,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.5,23.74443556,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.55,25.09773651,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.6,26.46865266,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.65,27.91043725,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.7,29.41934029,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.75,31.16507387,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.8,32.61850623,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.85,34.66473265,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.9,37.64286672,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.95,43.98192458,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.975,50.94397436,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-07,0.99,55.84290161,2023-05-08,6 day ahead inc hosp,quantile
1,2023-05-08,0.01,3.613115914,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.025,5.325684382,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.05,10.61728504,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.1,13.05756732,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.15,15.04140922,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.2,16.51038458,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.25,17.78530217,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.3,19.19289511,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.35,20.46351899,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.4,21.44429521,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.45,22.74773958,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.5,24.075276,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.55,25.44358125,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.6,26.86354657,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.65,27.91820894,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.7,29.46048676,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.75,31.71244347,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.8,33.48041631,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.85,35.41228141,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.9,38.21429214,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.95,44.81255181,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.975,50.52162849,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-08,0.99,56.86587644,2023-05-08,7 day ahead inc hosp,quantile
1,2023-05-09,0.01,3.231474285,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.025,4.672201331,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.05,10.22419273,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.1,13.13057428,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.15,14.79894902,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.2,16.50720166,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.25,17.91496199,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.3,19.11757347,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.35,20.53368488,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.4,21.96226926,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.45,23.07729439,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.5,24.27482721,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.55,25.67469929,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.6,27.15370881,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.65,28.6523947,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.7,30.26855038,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.75,31.86751543,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.8,34.2927912,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.85,36.6674599,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.9,40.58881251,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.95,45.97675761,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.975,53.05612194,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-09,0.99,58.62635137,2023-05-08,8 day ahead inc hosp,quantile
1,2023-05-10,0.01,2.903062004,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.025,4.530257044,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.05,10.04479894,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.1,12.89445249,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.15,14.59600149,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.2,16.15984433,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.25,17.80600728,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.3,19.29841445,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.35,20.55901284,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.4,21.73996155,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.45,23.17752304,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.5,24.53386591,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.55,25.88694658,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.6,27.2720502,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.65,28.76980316,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.7,30.30997632,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.75,32.46930662,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.8,34.89224374,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.85,37.32481273,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.9,41.88912312,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.95,47.55839057,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.975,53.92453118,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-10,0.99,59.61166485,2023-05-08,9 day ahead inc hosp,quantile
1,2023-05-11,0.01,2.402231886,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.025,4.118180756,2023-05-08,10 day ahead inc hosp,quantile
1,2023-05-11,0.05,10.10459242,2023-05-08,10 day ahead inc hosp,quantile
